ts,symbol,open_time,spot_close,mark_close,index_close,premium_close,basis_mark_vs_spot,basis_index_vs_spot,funding_rate,funding_interval_hours,volume,quote_volume,trades,agg_sum_qty,agg_trades,agg_cvd_qty,agg_vwap,agg_last_trade_id,agg_taker_buy_qty,agg_taker_sell_qty,agg_taker_buy_trades,agg_taker_sell_trades,agg_buy_notional,agg_sell_notional,agg_buy_vwap,agg_sell_vwap,agg_first_price,agg_last_price,agg_first_trade_id
2025-01-22 08:30:00+00:00,BTC-USDT,1737534600000,105080.01,105070.652,105084.2743,-0.00021661,-8.91E-05,4.06E-05,0.0001,8,223.89651,23483899.88,45450,223.89651,16344,-53.37059,104887.2976,3394072247,85.26296,138.63355,8591,7753,8943936.755,14539963.13,104898.2671,104880.5511,104805.01,105080.01,3394055904
2025-01-22 08:30:00+00:00,ETH-USDT,1737534600000,3287.41,3286.263435,3287.33561,-0.00041148,-0.0003487745794,-2.26E-05,0.0001,8,3617.0909,11879942.47,21635,3617.0909,9127,693.6497,3284.391463,1402179308,2155.3703,1461.7206,5005,4122,7081033.352,4798909.121,3285.297822,3283.054997,3281.05,3287.41,1402170182
2025-01-22 08:30:00+00:00,LINK-USDT,1737534600000,25.67,25.674638,25.67391493,-0.00015794,0.000180677834,0.0001525099338,0.0001,8,48254.02,1236456.989,2619,48254.02,868,-13372.22,25.62391669,258570644,17440.9,30813.12,431,437,447028.2678,789428.7208,25.6310321,25.61988922,25.67,25.67,258569777
2025-01-22 08:30:00+00:00,SOL-USDT,1737534600000,254.5,254.4511075,254.5484422,-0.00038404,-0.000192111945,0.0001903427112,-2.09E-05,8,46009.972,11694252.14,44012,46009.972,8707,-399.22,254.1677734,484245167,22805.376,23204.596,5745,2962,5796395.826,5897856.31,254.167957,254.1675929,253.5,254.5,484236461
2025-01-22 08:30:00+00:00,XRP-USDT,1737534600000,3.1564,3.15679733,3.15688571,-9.05E-05,0.0001258807502,0.0001538810037,0.0001,8,1918686,6047770.219,26345,1918686,5230,-67878,3.152037498,536862104,925404,993282,2962,2268,2917300.564,3130469.655,3.152461589,3.151642389,3.1493,3.1564,536856875
2025-01-22 08:45:00+00:00,ADA-USDT,1737535500000,0.9935,0.9932,0.9934448,-0.000267,-0.0003019627579,-5.56E-05,0.0001,8,1798215.7,1779427.825,7824,1798215.7,1861,181580.7,0.9895519345,367413107,989898.2,808317.5,957,904,979903.3426,799524.482,0.9899031462,0.9891218265,0.9854,0.9935,367411247
2025-01-22 08:45:00+00:00,BNB-USDT,1737535500000,698.05,698.47,698.1075079,0.00047397,0.0006016760977,8.24E-05,0,8,3569.51,2489494.578,7277,3569.51,3508,353.08,697.4331429,633583546,1961.295,1608.215,1809,1699,1367727.531,1121767.047,697.3594135,697.5230594,696.06,698.05,633580039
2025-01-22 08:45:00+00:00,BTC-USDT,1737535500000,105270.03,105252.5389,105270.992,-0.0002718,-0.000166154948,9.14E-06,0.0001,8,294.87274,31027470.83,43943,294.87274,16253,-63.68518,105223.2595,3394088500,115.59378,179.27896,8625,7628,12162424.52,18865046.31,105216.9461,105227.3301,105080.01,105270.03,3394072248
2025-01-22 08:45:00+00:00,ETH-USDT,1737535500000,3299.56,3298.414435,3299.425366,-0.00031772,-0.0003471872128,-4.08E-05,0.0001,8,7468.3953,24611630.69,25664,7468.3953,10476,-1148.9431,3295.437601,1402189784,3159.7261,4308.6692,4955,5521,10412899.14,14198731.55,3295.506891,3295.386787,3287.41,3299.56,1402179309
2025-01-22 08:45:00+00:00,LINK-USDT,1737535500000,25.93,25.92390424,25.93098903,-0.00045167,-0.0002350852295,3.81E-05,0.0001,8,91448.5,2361914.934,4030,91448.5,1106,35744.32,25.82781494,258571750,63596.41,27852.09,521,585,1642531.159,719383.7749,25.82741949,25.82871788,25.68,25.93,258570645
